,EMA,SMA,Index_EMA,Index_SMA,percent_difference
2013-03-28,263.3732,265.7584,155.8743,156.1715,-1.5007607130471186
2013-04-01,263.2052,265.5519,155.9663,156.3695,0.1825908214509896
2013-04-02,263.2164,265.0625,156.1199,156.5665,-0.6526621863055986
2013-04-03,262.8177,264.2345,156.1123,156.617,-0.36521400710513824
2013-04-04,262.4617,263.499,156.1626,156.6815,-0.9617998108495224
2013-04-05,261.7968,262.579,156.1442,156.699,0.7427246685713162
2013-04-08,261.5256,261.817,156.2191,156.7315,0.47613157494176167
2013-04-09,261.4889,261.312,156.342,156.766,0.13934473183312868
2013-04-10,261.8014,260.844,156.6409,156.9175,1.5925866783176397
2013-04-11,262.5679,260.5815,156.9608,157.084,1.3816402631091202
2013-04-12,263.5491,260.938,157.2102,157.1855,0.4030416441171869
2013-04-15,263.9463,261.233,157.0878,157.1133,0.2666487576094576
2013-04-16,264.7457,261.9555,157.1938,157.2023,-0.3094843054718843
2013-04-17,264.9985,262.505,157.0629,157.1853,-2.406703667340672
2013-04-18,264.4672,262.6121,156.8588,157.0733,-0.45994029900422456
2013-04-19,264.0722,262.9586,156.7932,157.0888,0.7093084640282341
2013-04-22,264.0225,263.2486,156.8129,157.0848,1.010867056493459
2013-04-23,264.487,263.8926,156.9831,157.2238,-0.03832108487383603
2013-04-24,264.8959,264.3161,157.1362,157.3028,1.7296272459761435
2013-04-25,265.8296,264.7861,157.346,157.4248,-7.027245944307301
2013-04-26,264.7801,264.2021,157.5036,157.5068,-2.6815417283416685
2013-04-29,263.3477,263.6086,157.7508,157.6698,1.4110815160321397
2013-04-30,262.4394,263.133,158.0079,157.8133,-1.3571113285569147
2013-05-01,261.0861,262.593,158.1119,157.9663,0.83523033840117
2013-05-02,260.2731,262.2665,158.3432,158.1613,1.187379201806453
2013-05-03,260.0614,262.395,158.7038,158.4693,-1.168145058063923
2013-05-06,259.6479,262.2335,159.0711,158.7508,0.2754352462893275
2013-05-07,259.4653,262.063,159.4824,159.0448,-0.10266226992051353
2013-05-08,259.3905,261.7585,159.9279,159.2788,0.8401666460190359
2013-05-09,259.4638,261.274,160.289,159.4648,1.0222871361989885
2013-05-10,259.8606,260.812,160.6644,159.6973,0.24855485979821956
2013-05-13,260.3034,260.6515,161.0173,160.1195,0.3734248002117042
2013-05-14,261.0678,260.451,161.5042,160.516,-1.1652636459772725
2013-05-15,261.5909,260.409,162.0248,161.0735,-0.43623815939503136
2013-05-16,261.8317,260.644,162.4195,161.636,1.2074760614892013
2013-05-17,262.6001,261.123,162.932,162.2175,-0.8648901438355414
2013-05-20,263.0792,261.327,163.3994,162.7595,0.3344705709870017
2013-05-21,263.6297,261.325,163.8423,163.232,-1.4446737913302194
2013-05-22,263.566,261.034,164.123,163.642,-0.14734913018640572
2013-05-23,263.3978,260.389,164.3304,163.99,0.06728017834805963
2013-05-24,263.2399,260.7355,164.5037,164.3475,1.5065217494781078
2013-05-28,263.6256,261.613,164.7576,164.701,0.0174977572444992
